filename,transcription
common_voice_en_1.mp3, I'm interested only in the present.
common_voice_en_10.mp3, The boy looked out at the horizon.
common_voice_en_100.mp3, I admit that I'm an alcoholic.
common_voice_en_1000.mp3, I was disappointed at this inanimate bulk.
common_voice_en_10000.mp3, The parents should look out for correct grammar and pronunciation and speak into their church.
common_voice_en_100000.mp3, I'm getting Trevor ready.
common_voice_en_100001.mp3, All I want to do is be left alone
common_voice_en_100003.mp3, Yorkshire is my county.
common_voice_en_100004.mp3, Be sure you spell the name right.
common_voice_en_100005.mp3, The population was increasing exponentially.
common_voice_en_100006.mp3, How long since we've seen each other?
common_voice_en_100007.mp3, I wish they'd stop that practicing.
common_voice_en_100008.mp3, This building has an elevator which is necessary for wheelchairs.
common_voice_en_100009.mp3, He felt unsafe like during his first lesson in driving school.
common_voice_en_10001.mp3, I find the other argument dubious.
common_voice_en_100010.mp3, The descent was disturbingly steep.
common_voice_en_100011.mp3, The chairlift took them up the mountain.
common_voice_en_100012.mp3," Well, I should think it was sudden."
common_voice_en_100013.mp3, I need some time to think
common_voice_en_100014.mp3, I feel so good I could spit.
common_voice_en_100015.mp3, That man is terrific.
common_voice_en_100016.mp3, Pizza is an Italian classic.
common_voice_en_100017.mp3, How much do you need?
common_voice_en_100018.mp3, The Englishman vanished too. Gone to find the alchemist.
common_voice_en_100019.mp3," Finally, after hours of waiting, the guard bathed the boy enter."
common_voice_en_10002.mp3, That's the fourth study I've been writing today.
common_voice_en_100020.mp3," A current of love rests from his heart, and the boy began to pray."
common_voice_en_100021.mp3, Most of them were staring quietly at the big table.
common_voice_en_100022.mp3, And then he perceived it very slowly.
common_voice_en_100023.mp3, The two men hurried back and found the cylinder still lying in the same position.
common_voice_en_100024.mp3," At other times, at a crucial moment, I make it easier for things to happen."
common_voice_en_100025.mp3, The alchemist told the boy to place the shell over his ear.
common_voice_en_100026.mp3, They locked themselves in their laboratories and tried to evolve as gold had.
common_voice_en_100027.mp3, The land was ruined and I had to find some other way to earn a living.
common_voice_en_100028.mp3,
common_voice_en_100029.mp3, The desert was all sand in some stretches and rocking waters
